Date	Amount
9/30/1969 16:00:00	0.013468
10/31/1969 16:00:00	0.014112
11/28/1969 16:00:00	0.013685
12/31/1969 16:00:00	0.013493
1/30/1970 16:00:00	0.012435
2/27/1970 16:00:00	0.013068
3/31/1970 16:00:00	0.013063
4/30/1970 16:00:00	0.011856
5/29/1970 16:00:00	0.011109
6/30/1970 16:00:00	0.010533
7/31/1970 16:00:00	0.011284
8/31/1970 16:00:00	0.011762
9/30/1970 16:00:00	0.012139
10/30/1970 16:00:00	0.011964
11/30/1970 16:00:00	0.012509
12/31/1970 16:00:00	0.013193
1/29/1971 16:00:00	0.013685
2/26/1971 16:00:00	0.014033
3/31/1971 16:00:00	0.014610
4/30/1971 16:00:00	0.015409
5/28/1971 16:00:00	0.014797
6/30/1971 16:00:00	0.014658
7/30/1971 16:00:00	0.014251
8/31/1971 16:00:00	0.014603
9/30/1971 16:00:00	0.014617
10/29/1971 16:00:00	0.014027
11/30/1971 16:00:00	0.013820
12/31/1971 16:00:00	0.015090
1/31/1972 16:00:00	0.015653
2/29/1972 16:00:00	0.016435
3/30/1972 16:00:00	0.016711
4/28/1972 16:00:00	0.017053
5/31/1972 16:00:00	0.017127
6/30/1972 16:00:00	0.016735
7/31/1972 16:00:00	0.016370
8/31/1972 16:00:00	0.016554
9/29/1972 16:00:00	0.016444
10/31/1972 16:00:00	0.016441
11/30/1972 16:00:00	0.016724
12/29/1972 16:00:00	0.016740
1/31/1973 16:00:00	0.016006
2/28/1973 16:00:00	0.014945
3/30/1973 16:00:00	0.014516
4/30/1973 16:00:00	0.013260
5/31/1973 16:00:00	0.012560
6/29/1973 16:00:00	0.012306
7/31/1973 16:00:00	0.013174
8/31/1973 16:00:00	0.012660
9/28/1973 16:00:00	0.013366
10/31/1973 16:00:00	0.013179
11/30/1973 16:00:00	0.011132
12/31/1973 16:00:00	0.010929
1/31/1974 16:00:00	0.011194
2/28/1974 16:00:00	0.011080
3/29/1974 16:00:00	0.010794
4/30/1974 16:00:00	0.010116
5/31/1974 16:00:00	0.009290
6/28/1974 16:00:00	0.008766
7/31/1974 16:00:00	0.008037
8/30/1974 16:00:00	0.007129
9/30/1974 16:00:00	0.006337
10/31/1974 16:00:00	0.007381
11/29/1974 16:00:00	0.007088
12/31/1974 16:00:00	0.006709
1/31/1975 16:00:00	0.007794
2/27/1975 16:00:00	0.008063
3/31/1975 16:00:00	0.008381
4/30/1975 16:00:00	0.008651
5/30/1975 16:00:00	0.008788
6/30/1975 16:00:00	0.009500
7/31/1975 16:00:00	0.009043
8/29/1975 16:00:00	0.008547
9/30/1975 16:00:00	0.008002
10/31/1975 16:00:00	0.008250
11/28/1975 16:00:00	0.008410
12/31/1975 16:00:00	0.008241
1/30/1976 16:00:00	0.009208
2/27/1976 16:00:00	0.009506
3/31/1976 16:00:00	0.009491
4/30/1976 16:00:00	0.009395
5/28/1976 16:00:00	0.009138
6/30/1976 16:00:00	0.009330
7/30/1976 16:00:00	0.009391
8/31/1976 16:00:00	0.009184
9/30/1976 16:00:00	0.009304
10/29/1976 16:00:00	0.009159
11/30/1976 16:00:00	0.009201
12/31/1976 16:00:00	0.009842
1/31/1977 16:00:00	0.009556
2/28/1977 16:00:00	0.009428
3/31/1977 16:00:00	0.009332
4/29/1977 16:00:00	0.009428
5/31/1977 16:00:00	0.009395
6/30/1977 16:00:00	0.009750
7/29/1977 16:00:00	0.009798
8/31/1977 16:00:00	0.009701
9/30/1977 16:00:00	0.009724
10/31/1977 16:00:00	0.009364
11/30/1977 16:00:00	0.009857
12/30/1977 16:00:00	0.010001
1/31/1978 16:00:00	0.009549
2/28/1978 16:00:00	0.009576
3/31/1978 16:00:00	0.009971
4/28/1978 16:00:00	0.010769
5/31/1978 16:00:00	0.011183
6/30/1978 16:00:00	0.011139
7/31/1978 16:00:00	0.011645
8/31/1978 16:00:00	0.012384
9/29/1978 16:00:00	0.012140
10/31/1978 16:00:00	0.010099
11/30/1978 16:00:00	0.010378
12/29/1978 16:00:00	0.010632
1/31/1979 16:00:00	0.011280
2/28/1979 16:00:00	0.010948
3/30/1979 16:00:00	0.011714
4/30/1979 16:00:00	0.011839
5/31/1979 16:00:00	0.011572
6/29/1979 16:00:00	0.012107
7/31/1979 16:00:00	0.012331
8/31/1979 16:00:00	0.013059
9/28/1979 16:00:00	0.012971
10/31/1979 16:00:00	0.011658
11/30/1979 16:00:00	0.012359
12/31/1979 16:00:00	0.012886
1/31/1980 16:00:00	0.013733
2/29/1980 16:00:00	0.013351
3/31/1980 16:00:00	0.011019
4/30/1980 16:00:00	0.011722
5/30/1980 16:00:00	0.012536
6/30/1980 16:00:00	0.013095
7/31/1980 16:00:00	0.014188
8/29/1980 16:00:00	0.014921
9/30/1980 16:00:00	0.015367
10/31/1980 16:00:00	0.015698
11/28/1980 16:00:00	0.016878
12/31/1980 16:00:00	0.016329
1/30/1981 16:00:00	0.015893
2/27/1981 16:00:00	0.015844
3/31/1981 16:00:00	0.016741
4/30/1981 16:00:00	0.017179
5/29/1981 16:00:00	0.017642
6/30/1981 16:00:00	0.016954
7/31/1981 16:00:00	0.016543
8/31/1981 16:00:00	0.015239
9/30/1981 16:00:00	0.013945
10/30/1981 16:00:00	0.015050
11/30/1981 16:00:00	0.015462
12/31/1981 16:00:00	0.014960
1/29/1982 16:00:00	0.014331
2/26/1982 16:00:00	0.013590
3/31/1982 16:00:00	0.013236
4/30/1982 16:00:00	0.013859
5/28/1982 16:00:00	0.013335
6/30/1982 16:00:00	0.012737
7/30/1982 16:00:00	0.012390
8/31/1982 16:00:00	0.013185
9/30/1982 16:00:00	0.013755
10/29/1982 16:00:00	0.015518
11/30/1982 16:00:00	0.016879
12/31/1982 16:00:00	0.016806
1/31/1983 16:00:00	0.017882
2/28/1983 16:00:00	0.018689
3/31/1983 16:00:00	0.019316
4/29/1983 16:00:00	0.020818
5/31/1983 16:00:00	0.021825
6/30/1983 16:00:00	0.022425
7/29/1983 16:00:00	0.021297
8/31/1983 16:00:00	0.020383
9/30/1983 16:00:00	0.020582
10/31/1983 16:00:00	0.018962
11/30/1983 16:00:00	0.019645
12/30/1983 16:00:00	0.019070
1/31/1984 16:00:00	0.018288
2/29/1984 16:00:00	0.017034
3/30/1984 16:00:00	0.016932
4/30/1984 16:00:00	0.016630
5/31/1984 16:00:00	0.015574
6/29/1984 16:00:00	0.015943
7/31/1984 16:00:00	0.015228
8/31/1984 16:00:00	0.016795
9/28/1984 16:00:00	0.016417
10/31/1984 16:00:00	0.016144
11/30/1984 16:00:00	0.015771
12/31/1984 16:00:00	0.016007
